Brand,Varieties,Type,Centi_liter,Year,ABV_Percent,Price_Rupees,ABV_Category,Mili_liter
Hibiki,Millennium Finest Old Mild & Smooth,Japanese,70,NAS,40,7378,High,700
Hibiki,Blended Miniature,Japanese,5,NAS,43,7378,Medium,50
Woodford Reserve,Baccarat Edition Bourbon,Bourbon,70,NAS,2,153241,Low,700
Woodford Reserve,Kentucky Straight Wheat,Kentucky,70,NAS,2,3970,Low,700
Woodford Reserve,Distiller's Select Malt,Kentucky,70,NAS,2,4879,Low,700
Woodford Reserve,Distiller's Select Bourbon,Bourbon,70,NAS,2,4311,Low,700
Woodford Reserve,Double Oaked Kentucky Straight Bourbon,Kentucky,70,NAS,2,6810,Low,700
Woodford Reserve,Distiller's Select Straight Rye,Rye,70,NAS,2,4311,Low,700
Woodford Reserve,Master's Collection - Historic Barrel Entry Bourbon,Barrel,70,NAS,2,15898,Low,700
Woodford Reserve,Batch Proof 124.7 Bourbon,Bourbon,70,NAS,35,15898,Low,700
Woodford Reserve,Masters Collection - Maple Wood Finish Bourbon,Bourbon,70,NAS,2,34074,Low,700
Woodford Reserve,Kentucky Derby 142 Whiskey (1,Kentucky,100,NAS,2,11354,Low,1000
Woodford Reserve,Masters Collection - 123.6 Batch Proof Bourbon,Bourbon,70,NAS,8,14194,Low,700
Woodford Reserve,Distiller's Select Bourbon Miniatures Whiskey (12 x,Bourbon,5,NAS,2,5106,Low,50
Woodford Reserve,Glass & Five-Malt Stouted Mash,Bourbon,70,NAS,40,14762,High,700
Woodford Reserve,Master's Collection - Five-Malt Stouted Mash,Bourbon,70,NAS,2,13513,Low,700
Woodford Reserve,Glass & Distiller's Select Malt,Bourbon,70,NAS,2,4766,Low,700
Woodford Reserve,Glass & Distiller's Select Straight Rye,Rye,70,NAS,2,4766,Low,700
Woodford Reserve,Glass & Double Oaked Kentucky Straight Bourbon,Kentucky,70,NAS,2,6810,Low,700
Woodford Reserve,Glass & Distiller's Select Bourbon,Bourbon,70,NAS,2,4538,Low,700
Woodford Reserve,Glass & Kentucky Straight Wheat,Kentucky,70,NAS,2,4993,Low,700
Banks,7 Golden Age,Barrel,70,NAS,43,6242,Medium,700
Banks,5 Island,Barrel,70,NAS,43,5447,Medium,700
Egan's,Endeavour Irish,Irish,70,NAS,46,5334,Medium,700
Cooley,Rare Find by Gleann Mor - Single Cask Rum Cask Finish Irish,Irish,70,NAS,8,17034,Low,700
Bushmills,The Causeway Collection - Rum Cask Whiskey (UK,Very Rare,70,NAS,2,39641,Low,700
Connemara,Peated Irish Single Malt,Irish,70,NAS,40,7378,High,700
Flaming Pig,Black Cask Irish,Irish,70,NAS,40,4198,High,700
Rammstein,Irish,Irish,70,NAS,43,8174,Medium,700
Egan's,Conviction Irish,Irish,70,NAS,46,7946,Medium,700
The Irishman,Single Malt Irish,Irish,70,NAS,54,20102,High,700
Berry Bros & Rudd,Classic Irish Reserve Single Malt,Irish,70,NAS,2,5106,Low,700
Powers,Gold Label Distillers Cut,Irish,70,NAS,2,3630,Low,700
Kyro,Malt Rye,Rye,70,NAS,2,6242,Low,700
Kyro,Wood Smoke Rye Malt,Rye,70,NAS,2,7378,Low,700
Kyro,Peat Smoke Malt Rye,Rye,70,NAS,2,7378,Low,700
Starward,Fortis Australian Single Malt,Australian,70,NAS,50,6583,High,700
Starward,Left-Field Australian Single Malt,Australian,70,NAS,40,4311,High,700
Starward,Nova Australian Single Malt,Australian,70,NAS,41,5106,Medium,700
Starward,Solera Australian Single Malt,Australian,70,NAS,43,6810,Medium,700
Starward,Vitalis 15th Anniversary Edition Australian Single Malt,Australian,70,NAS,52,14649,High,700
Starward,Octave Barrels Australian Single Malt,Australian,70,NAS,48,9628,High,700
Starward,Unexpeated Australian Single Malt,Australian,70,NAS,48,9185,High,700
Starward,Trio Gift Pack Whisky (3 x,Australian,20,NAS,7,5674,Low,200
Starward,Ginger Beer Cask #6,Australian,50,NAS,48,9082,High,500
Starward,That Boutique-Y Whisky Company Batch #1,Australian,50,NAS,56,11354,High,500
Starward,Project Release - Dolce,Australian,50,NAS,48,11354,High,500
Starward,Tawny Port Cask,Australian,50,NAS,48,9650,High,500
Starward,Two Fold Double Grain Australian Single Malt,Australian,70,NAS,40,5674,High,700
Starward,(New) Old Fashioned Whisky Cocktail Whisky,Australian,50,NAS,32,7378,Low,500
Shizuoka,1st Edition - Pot Still K 100% Imported Barley,Barrel,70,NAS,5,22714,Low,700
Shizuoka,1st Edition - United S Single Malt Japanese,Japanese,70,NAS,5,13058,Low,700
Shizuoka,1st Edition - Pot Still W 100% Imported Barley,Japanese,70,NAS,5,17034,Low,700
Shizuoka,1st Edition - Pot Still K 100% Japanese Barley,Japanese,70,NAS,5,26122,Low,700
Shizuoka,Automotive Icons Series Vol. 1 Toyota 2000GT,Japanese,70,NAS,4,51114,Low,700
Waterford,Biodynamic Cuvee Luna 2024 Single Malt Irish,Irish,70,NAS,50,9991,High,700
Waterford,Heritage Goldthorpe Single Malt Irish,Irish,70,NAS,50,10559,High,700
Waterford,Cuvee Koffi Single Malt Irish,Irish,70,NAS,50,8514,High,700
Waterford,The Cuvee Argot Single Malt Irish,Irish,70,NAS,47,6242,High,700
Waterford,Arcadian Series Gaia Organic 2.1 Irish,Irish,70,NAS,50,8174,High,700
Waterford,Single Farm Origin Series Grattansbrook 1.1,Irish,70,NAS,50,7946,High,700
Waterford,Single Farm Origin Series Lakefield 1.1,Irish,70,NAS,50,10218,High,700
Waterford,Single Farm Origin Series Hook Head 1.1,Irish,70,NAS,50,7946,High,700
Waterford,Arcadian Series Organic Gaia 1.1 - Irish Single Malt,Irish,70,NAS,50,9082,High,700
Waterford,Single Farm Origin Series Ballymorgan 1.1 Irish,Irish,70,NAS,50,10218,High,700
Waterford,Single Farm Origin Series Sheestown 1.1 Irish,Irish,70,NAS,50,10218,High,700
Waterford,Single Farm Origin Series Bannow Island 1.1 Irish,Irish,70,NAS,50,10218,High,700
Waterford,Single Farm Origin Series Ballykilcavan 1.1 Irish,Irish,70,NAS,50,10218,High,700
Waterford,Arcadian Farm Origin Series Lacken 1.1 Peated,Irish,70,NAS,50,7378,High,700
Waterford,Heritage Hunter 1.1 Irish,Irish,70,NAS,50,7378,High,700
Waterford,Single Farm Origin Series Ballybannon 1.1 Peated,Irish,70,NAS,50,7378,High,700
Waterford,Luna Biodynamic Single Malt,Irish,70,NAS,50,7378,High,700
Waterford,The Cuvee Single Malt Irish,Irish,70,NAS,50,7378,High,700
Waterford,Micro Cuvee - Lomhar Single Malt Irish,Irish,70,NAS,50,7378,High,700
Waterford,Single Farm Origin Series Ballymorgan 1.2,Irish,70,NAS,50,7378,High,700
Teeling,Single Irish Pot Still,Irish,70,NAS,46,5106,Medium,700
Teeling,Irish Single Malt,Irish,70,NAS,46,5561,Medium,700
Teeling,Single Grain Irish,Irish,70,NAS,46,4993,Medium,700
Teeling,Rising Reserve No. 3 Single Malt Irish,Irish,70,NAS,46,22146,Medium,700
Teeling,Wonders Of Wood Vol 3 - Virgin Swedish Oak,Swedish,70,NAS,50,10786,High,700
Teeling,Small Batch Cask Glass Pack,Swedish,70,NAS,46,5674,Medium,700
Teeling,Dark Porter - Small Batch Collaboration - 2022 Release,Swedish,70,NAS,46,5674,Medium,700
Teeling,Wonders Of Wood Edition 1 Irish Pot Still,Irish,70,NAS,50,34074,High,700
Teeling,Renaissance Batch #5 Irish Single Malt,Irish,70,NAS,46,34074,Medium,700
Teeling,Single Malt,Irish,70,NAS,43,100985,Medium,700
Teeling,Amber Ale Small Batch Collaboration Dot Brew,Irish,70,NAS,46,6810,Medium,700
Teeling,Black Pitts - Peated Single Malt Irish,Irish,70,NAS,46,6356,Medium,700
Teeling,Renaissance Batch #2 Irish Single Malt,Irish,70,NAS,46,34074,Medium,700
Teeling,Ginger Beer - Small Batch Collaboration Vol 1 - 2020 Release,Irish,70,NAS,46,17034,Medium,700
Teeling,Vintage Reserve Collection Single Malt,Irish,70,NAS,46,79514,Medium,700
Teeling,Silver Reserve Irish,Irish,70,NAS,46,85194,Medium,700
Teeling,Small Batch Irish,Irish,70,NAS,46,7378,Medium,700
Teeling,Pineapple Rum Cask #2 - Small Batch Collaboration - 2022 Release,Irish,70,NAS,2,7378,Low,700
Teeling,Ginger Beer - Small Batch Collaboration - 2022 Release,Irish,70,NAS,46,7378,Medium,700
Teeling,Vintage Reserve - Single Malt Irish,Irish,70,NAS,46,7378,Medium,700
